Fondsposition per,"02.Feb.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"4901","FUJIFILM HOLDINGS CORP","IT","Aktien","2.306.805,85","0,03","2.306.805,85","115.100,00","20,04","Japan","Tokyo Stock Exchange","JPY"
"CCEP","COCA COLA EUROPACIFIC PARTNERS PLC","Nichtzyklische Konsumgüter","Aktien","2.304.815,60","0,03","2.304.815,60","24.998,00","92,20","Niederlande","NASDAQ","USD"
"KHC","KRAFT HEINZ","Nichtzyklische Konsumgüter","Aktien","2.300.767,50","0,03","2.300.767,50","97.905,00","23,50","Vereinigte Staaten","NASDAQ","USD"
"DLTR","DOLLAR TREE INC","Nichtzyklische Konsumgüter","Aktien","2.291.533,78","0,03","2.291.533,78","19.549,00","117,22","Vereinigte Staaten","NASDAQ","USD"
"5020","ENEOS HOLDINGS INC","Energie","Aktien","2.289.747,39","0,03","2.289.747,39","281.450,00","8,14","Japan","Tokyo Stock Exchange","JPY"
"NXT","NEXT PLC","Zyklische Konsumgüter ","Aktien","2.278.911,97","0,03","2.278.911,97","12.438,00","183,22","Vereinigtes Königreich","London Stock Exchange","GBP"
"WAT","WATERS CORP","Gesundheitsversorgung","Aktien","2.267.894,49","0,03","2.267.894,49","5.979,00","379,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VIE","VEOLIA ENVIRON. SA","Versorger","Aktien","2.262.376,53","0,03","2.262.376,53","60.849,00","37,18","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BAM","BROOKFIELD ASSET MANAGEMENT VOTING","Financials","Aktien","2.258.621,19","0,03","2.258.621,19","44.567,00","50,68","Kanada","Toronto Stock Exchange","CAD"
"Q","QNITY ELECTRONICS INC","IT","Aktien","2.237.592,09","0,03","2.237.592,09","22.227,00","100,67","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IMO","IMPERIAL OIL LTD","Energie","Aktien","2.236.820,90","0,03","2.236.820,90","21.834,00","102,45","Kanada","Toronto Stock Exchange","CAD"
"FRE","FRESENIUS SE AND CO KGAA","Gesundheitsversorgung","Aktien","2.232.882,08","0,03","2.232.882,08","39.482,00","56,55","Deutschland","Xetra","EUR"
"GMAB","GENMAB","Gesundheitsversorgung","Aktien","2.230.376,09","0,03","2.230.376,09","6.759,00","329,99","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"NTAP","NETAPP INC","IT","Aktien","2.230.469,56","0,03","2.230.469,56","22.886,00","97,46","Vereinigte Staaten","NASDAQ","USD"
"NVR","NVR INC","Zyklische Konsumgüter ","Aktien","2.230.611,82","0,03","2.230.611,82","289,00","7.718,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Industrie","Aktien","2.229.738,28","0,03","2.229.738,28","11.242,00","198,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAB","BANCO DE SABADELL SA","Financials","Aktien","2.218.908,45","0,03","2.218.908,45","554.095,00","4,00","Spanien","Bolsa De Madrid","EUR"
"KEY","KEYCORP","Financials","Aktien","2.215.312,00","0,03","2.215.312,00","100.696,00","22,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PSTG","PURE STORAGE INC CLASS A","IT","Aktien","2.214.232,86","0,03","2.214.232,86","31.479,00","70,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SW","SMURFIT WESTROCK PLC","Materialien","Aktien","2.206.928,16","0,03","2.206.928,16","52.596,00","41,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8308","RESONA HOLDINGS INC","Financials","Aktien","2.204.195,77","0,03","2.204.195,77","197.376,00","11,17","Japan","Tokyo Stock Exchange","JPY"
"KER","KERING SA","Zyklische Konsumgüter ","Aktien","2.195.151,55","0,03","2.195.151,55","7.200,00","304,88","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BMPS","BANCA MONTE DEI PASCHI DI SIENA SP","Financials","Aktien","2.179.333,46","0,02","2.179.333,46","205.418,00","10,61","Italien","Borsa Italiana","EUR"
"BRO","BROWN & BROWN INC","Financials","Aktien","2.177.145,50","0,02","2.177.145,50","30.535,00","71,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VRSN","VERISIGN INC","IT","Aktien","2.176.170,00","0,02","2.176.170,00","8.670,00","251,00","Vereinigte Staaten","NASDAQ","USD"
"LULU","LULULEMON ATHLETICA INC","Zyklische Konsumgüter ","Aktien","2.175.105,68","0,02","2.175.105,68","12.146,00","179,08","Vereinigte Staaten","NASDAQ","USD"
"FWONK","LIBERTY MEDIA FORMULA ONE SERIES C","Kommunikation","Aktien","2.174.350,50","0,02","2.174.350,50","25.431,00","85,50","Vereinigte Staaten","NASDAQ","USD"
"LGEN","LEGAL AND GENERAL GROUP PLC","Financials","Aktien","2.172.890,22","0,02","2.172.890,22","595.848,00","3,65","Vereinigtes Königreich","London Stock Exchange","GBP"
"CTRA","COTERRA ENERGY INC","Energie","Aktien","2.172.795,30","0,02","2.172.795,30","78.130,00","27,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ALL","ARISTOCRAT LEISURE LTD","Zyklische Konsumgüter ","Aktien","2.163.584,05","0,02","2.163.584,05","59.420,00","36,41","Australien","Asx - All Markets","AUD"
"WRB","WR BERKLEY CORP","Financials","Aktien","2.159.694,36","0,02","2.159.694,36","31.868,00","67,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HBAN","HELVETIA BALOISE HOLDING N AG","Financials","Aktien","2.154.959,89","0,02","2.154.959,89","8.439,00","255,36","Schweiz","SIX Swiss Exchange","CHF"
"DOW","DOW INC","Materialien","Aktien","2.150.953,52","0,02","2.150.953,52","74.479,00","28,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6178","JAPAN POST HOLDINGS LTD","Financials","Aktien","2.143.489,64","0,02","2.143.489,64","181.500,00","11,81","Japan","Tokyo Stock Exchange","JPY"
"UTHR","UNITED THERAPEUTICS CORP","Gesundheitsversorgung","Aktien","2.141.300,00","0,02","2.141.300,00","4.508,00","475,00","Vereinigte Staaten","NASDAQ","USD"
"PPL","PEMBINA PIPELINE CORP","Energie","Aktien","2.140.927,94","0,02","2.140.927,94","52.327,00","40,91","Kanada","Toronto Stock Exchange","CAD"
"ALAB","ASTERA LABS INC","IT","Aktien","2.124.403,84","0,02","2.124.403,84","13.936,00","152,44","Vereinigte Staaten","NASDAQ","USD"
"INCY","INCYTE CORP","Gesundheitsversorgung","Aktien","2.114.077,97","0,02","2.114.077,97","20.591,00","102,67","Vereinigte Staaten","NASDAQ","USD"
"ABN","ABN AMRO BANK NV","Financials","Aktien","2.109.081,74","0,02","2.109.081,74","56.780,00","37,14","Niederlande","Euronext Amsterdam","EUR"
"PODD","INSULET CORP","Gesundheitsversorgung","Aktien","2.098.125,12","0,02","2.098.125,12","8.176,00","256,62","Vereinigte Staaten","NASDAQ","USD"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Kommunikation","Aktien","2.090.387,46","0,02","2.090.387,46","9.786,00","213,61","Vereinigte Staaten","NASDAQ","USD"
"4661","ORIENTAL LAND LTD","Zyklische Konsumgüter ","Aktien","2.086.353,94","0,02","2.086.353,94","117.700,00","17,73","Japan","Tokyo Stock Exchange","JPY"
"COL","COLES GROUP LTD","Nichtzyklische Konsumgüter","Aktien","2.082.790,76","0,02","2.082.790,76","140.235,00","14,85","Australien","Asx - All Markets","AUD"
"9022","CENTRAL JAPAN RAILWAY","Industrie","Aktien","2.082.333,07","0,02","2.082.333,07","74.900,00","27,80","Japan","Tokyo Stock Exchange","JPY"
"IP","INTERNATIONAL PAPER","Materialien","Aktien","2.077.672,09","0,02","2.077.672,09","51.061,00","40,69","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BIRG","BANK OF IRELAND GROUP PLC","Financials","Aktien","2.076.043,88","0,02","2.076.043,88","100.003,00","20,76","Irland","Irish Stock Exchange - All Market","EUR"
"SBAC","SBA COMMUNICATIONS REIT CORP CLASS","Immobilien","Aktien","2.073.328,44","0,02","2.073.328,44","11.446,00","181,14","Vereinigte Staaten","NASDAQ","USD"
"HPQ","HP INC","IT","Aktien","2.067.926,28","0,02","2.067.926,28","104.388,00","19,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"STMPA","STMICROELECTRONICS NV","IT","Aktien","2.061.692,88","0,02","2.061.692,88","72.547,00","28,42","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"NSIS B","NOVOZYMES B","Materialien","Aktien","2.059.451,94","0,02","2.059.451,94","34.039,00","60,50","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"ROL","ROLLINS INC","Industrie","Aktien","2.058.359,10","0,02","2.058.359,10","32.410,00","63,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ILMN","ILLUMINA INC","Gesundheitsversorgung","Aktien","2.055.840,71","0,02","2.055.840,71","14.567,00","141,13","Vereinigte Staaten","NASDAQ","USD"
"AMCR","AMCOR PLC","Materialien","Aktien","2.050.693,75","0,02","2.050.693,75","46.873,00","43,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9020","EAST JAPAN RAILWAY","Industrie","Aktien","2.049.632,73","0,02","2.049.632,73","84.056,00","24,38","Japan","Tokyo Stock Exchange","JPY"
"RBA","RB GLOBAL INC","Industrie","Aktien","2.047.393,16","0,02","2.047.393,16","17.956,00","114,02","Kanada","Toronto Stock Exchange","CAD"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Industrie","Aktien","2.032.599,40","0,02","2.032.599,40","12.428,00","163,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"QSR","RESTAURANTS BRANDS INTERNATIONAL I","Zyklische Konsumgüter ","Aktien","2.032.813,69","0,02","2.032.813,69","30.389,00","66,89","Kanada","Toronto Stock Exchange","CAD"
"PKG","PACKAGING CORP OF AMERICA","Materialien","Aktien","2.032.943,64","0,02","2.032.943,64","9.087,00","223,72","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"1","CK HUTCHISON HOLDINGS LTD","Industrie","Aktien","2.031.995,19","0,02","2.031.995,19","258.032,00","7,87","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"VNA","VONOVIA SE","Immobilien","Aktien","2.024.730,14","0,02","2.024.730,14","70.457,00","28,74","Deutschland","Xetra","EUR"
"TPL","TEXAS PACIFIC LAND CORP","Energie","Aktien","2.009.979,60","0,02","2.009.979,60","5.970,00","336,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CPAY","CORPAY INC","Financials","Aktien","2.010.312,78","0,02","2.010.312,78","6.594,00","304,87","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TSN","TYSON FOODS INC CLASS A","Nichtzyklische Konsumgüter","Aktien","1.992.645,14","0,02","1.992.645,14","30.311,00","65,74","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EVN","EVOLUTION MINING LTD","Materialien","Aktien","1.988.820,23","0,02","1.988.820,23","206.361,00","9,64","Australien","Asx - All Markets","AUD"
"FTV","FORTIVE CORP","Industrie","Aktien","1.988.833,20","0,02","1.988.833,20","37.036,00","53,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NI","NISOURCE INC","Versorger","Aktien","1.989.363,46","0,02","1.989.363,46","45.182,00","44,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FFIV","F5 INC","IT","Aktien","1.989.462,64","0,02","1.989.462,64","7.087,00","280,72","Vereinigte Staaten","NASDAQ","USD"
"TEAM","ATLASSIAN CORP CLASS A","IT","Aktien","1.987.362,30","0,02","1.987.362,30","17.479,00","113,70","Vereinigte Staaten","NASDAQ","USD"
"GPN","GLOBAL PAYMENTS INC","Financials","Aktien","1.984.260,37","0,02","1.984.260,37","27.563,00","71,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SNA","SNAP ON INC","Industrie","Aktien","1.977.229,44","0,02","1.977.229,44","5.322,00","371,52","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"4543","TERUMO CORP","Gesundheitsversorgung","Aktien","1.975.973,02","0,02","1.975.973,02","150.200,00","13,16","Japan","Tokyo Stock Exchange","JPY"
"DD","DUPONT DE NEMOURS INC","Materialien","Aktien","1.974.780,21","0,02","1.974.780,21","44.447,00","44,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IHG","INTERCONTINENTAL HOTELS GROUP PLC","Zyklische Konsumgüter ","Aktien","1.974.866,40","0,02","1.974.866,40","14.066,00","140,40","Vereinigtes Königreich","London Stock Exchange","USD"
"APTV","APTIV PLC","Zyklische Konsumgüter ","Aktien","1.975.467,34","0,02","1.975.467,34","25.333,00","77,98","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PTC","PTC INC","IT","Aktien","1.974.524,36","0,02","1.974.524,36","12.583,00","156,92","Vereinigte Staaten","NASDAQ","USD"
"HKD","HKD CASH","Cash und/oder Derivate","Geldmarkt","1.962.888,53","0,02","1.962.888,53","15.329.276,00","12,80","Hongkong","-","HKD"
"4452","KAO CORP","Nichtzyklische Konsumgüter","Aktien","1.960.872,33","0,02","1.960.872,33","48.400,00","40,51","Japan","Tokyo Stock Exchange","JPY"
"TWLO","TWILIO INC CLASS A","IT","Aktien","1.958.760,00","0,02","1.958.760,00","16.323,00","120,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NBIS","NEBIUS NV CLASS A","IT","Aktien","1.956.270,40","0,02","1.956.270,40","22.190,00","88,16","Niederlande","NASDAQ","USD"
"GPC","GENUINE PARTS","Zyklische Konsumgüter ","Aktien","1.954.755,88","0,02","1.954.755,88","13.838,00","141,26","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FBK","FINECOBANK BANCA FINECO","Financials","Aktien","1.953.047,09","0,02","1.953.047,09","73.059,00","26,73","Italien","Borsa Italiana","EUR"
"GIB.A","CGI INC CLASS A","IT","Aktien","1.952.792,29","0,02","1.952.792,29","22.592,00","86,44","Kanada","Toronto Stock Exchange","CAD"
"EVRG","EVERGY INC","Versorger","Aktien","1.948.525,92","0,02","1.948.525,92","25.652,00","75,96","Vereinigte Staaten","NASDAQ","USD"
"HOLX","HOLOGIC INC","Gesundheitsversorgung","Aktien","1.948.023,36","0,02","1.948.023,36","26.064,00","74,74","Vereinigte Staaten","NASDAQ","USD"
"6971","KYOCERA CORP","IT","Aktien","1.943.895,94","0,02","1.943.895,94","129.600,00","15,00","Japan","Tokyo Stock Exchange","JPY"
"STLAM","STELLANTIS NV","Zyklische Konsumgüter ","Aktien","1.942.682,85","0,02","1.942.682,85","195.986,00","9,91","Italien","Borsa Italiana","EUR"
"RS","RELIANCE STEEL & ALUMINUM","Materialien","Aktien","1.933.585,38","0,02","1.933.585,38","5.823,00","332,06","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8309","SUMITOMO MITSUI TRUST GROUP INC","Financials","Aktien","1.934.288,74","0,02","1.934.288,74","60.200,00","32,13","Japan","Tokyo Stock Exchange","JPY"
"DSCT","ISRAEL DISCOUNT BANK LTD","Financials","Aktien","1.931.899,11","0,02","1.931.899,11","161.388,00","11,97","Israel","Tel Aviv Stock Exchange","ILS"
"CMS","CMS ENERGY CORP","Versorger","Aktien","1.931.024,05","0,02","1.931.024,05","27.371,00","70,55","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6920","LASERTEC CORP","IT","Aktien","1.930.791,71","0,02","1.930.791,71","9.600,00","201,12","Japan","Tokyo Stock Exchange","JPY"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","IT","Aktien","1.923.678,56","0,02","1.923.678,56","16.036,00","119,96","Vereinigte Staaten","NASDAQ","USD"
"LNT","ALLIANT ENERGY CORP","Versorger","Aktien","1.918.140,60","0,02","1.918.140,60","29.460,00","65,11","Vereinigte Staaten","NASDAQ","USD"
"L","LOEWS CORP","Financials","Aktien","1.914.512,22","0,02","1.914.512,22","18.099,00","105,78","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WRT1V","WARTSILA","Industrie","Aktien","1.912.680,75","0,02","1.912.680,75","47.234,00","40,49","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"ZS","ZSCALER INC","IT","Aktien","1.910.609,64","0,02","1.910.609,64","9.524,00","200,61","Vereinigte Staaten","NASDAQ","USD"
"2388","BOC HONG KONG HOLDINGS LTD","Financials","Aktien","1.906.307,02","0,02","1.906.307,02","368.500,00","5,17","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"HEIA","HEICO CORP CLASS A","Industrie","Aktien","1.900.479,82","0,02","1.900.479,82","7.394,00","257,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RDDT","REDDIT INC CLASS A","Kommunikation","Aktien","1.894.619,25","0,02","1.894.619,25","10.695,00","177,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BOL","BOLIDEN","Materialien","Aktien","1.875.037,51","0,02","1.875.037,51","26.788,00","70,00","Schweden","Nasdaq Omx Nordic","SEK"
"1925","DAIWA HOUSE INDUSTRY LTD","Immobilien","Aktien","1.872.402,76","0,02","1.872.402,76","55.300,00","33,86","Japan","Tokyo Stock Exchange","JPY"
"BAMI","BANCO BPM","Financials","Aktien","1.865.601,75","0,02","1.865.601,75","121.326,00","15,38","Italien","Borsa Italiana","EUR"
"SHL","SIEMENS HEALTHINEERS AG","Gesundheitsversorgung","Aktien","1.864.336,35","0,02","1.864.336,35","37.341,00","49,93","Deutschland","Xetra","EUR"
"2802","AJINOMOTO INC","Nichtzyklische Konsumgüter","Aktien","1.865.000,80","0,02","1.865.000,80","83.000,00","22,47","Japan","Tokyo Stock Exchange","JPY"
"CAD","CAD CASH","Cash und/oder Derivate","Geldmarkt","1.861.279,37","0,02","1.861.279,37","2.548.464,00","73,04","Kanada","-","CAD"
"EMA","EMERA INC","Versorger","Aktien","1.858.983,90","0,02","1.858.983,90","37.905,00","49,04","Kanada","Toronto Stock Exchange","CAD"
"LII","LENNOX INTERNATIONAL INC","Industrie","Aktien","1.846.936,41","0,02","1.846.936,41","3.729,00","495,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MRK","MERCK","Gesundheitsversorgung","Aktien","1.842.747,51","0,02","1.842.747,51","12.373,00","148,93","Deutschland","Xetra","EUR"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Materialien","Aktien","1.831.077,00","0,02","1.831.077,00","26.252,00","69,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DECK","DECKERS OUTDOOR CORP","Zyklische Konsumgüter ","Aktien","1.831.751,25","0,02","1.831.751,25","15.757,00","116,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WST","WEST PHARMACEUTICAL SERVICES INC","Gesundheitsversorgung","Aktien","1.826.375,00","0,02","1.826.375,00","7.690,00","237,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9503","KANSAI ELECTRIC POWER INC","Versorger","Aktien","1.819.980,09","0,02","1.819.980,09","118.200,00","15,40","Japan","Tokyo Stock Exchange","JPY"
"2","CLP HOLDINGS LTD","Versorger","Aktien","1.820.136,88","0,02","1.820.136,88","193.000,00","9,43","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"BAER","JULIUS BAER GRUPPE AG","Financials","Aktien","1.807.434,89","0,02","1.807.434,89","21.622,00","83,59","Schweiz","SIX Swiss Exchange","CHF"
"WY","WEYERHAEUSER REIT","Immobilien","Aktien","1.805.518,32","0,02","1.805.518,32","69.873,00","25,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RPRX","ROYALTY PHARMA PLC CLASS A","Gesundheitsversorgung","Aktien","1.803.222,84","0,02","1.803.222,84","42.569,00","42,36","Vereinigte Staaten","NASDAQ","USD"
"TRI","THOMSON REUTERS CORP","Industrie","Aktien","1.801.450,48","0,02","1.801.450,48","16.554,00","108,82","Kanada","Toronto Stock Exchange","CAD"
"BG","BUNGE GLOBAL","Nichtzyklische Konsumgüter","Aktien","1.800.200,12","0,02","1.800.200,12","15.794,00","113,98","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BURL","BURLINGTON STORES INC","Zyklische Konsumgüter ","Aktien","1.789.690,56","0,02","1.789.690,56","5.992,00","298,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FM","FIRST QUANTUM MINERALS LTD","Materialien","Aktien","1.785.617,99","0,02","1.785.617,99","62.385,00","28,62","Kanada","Toronto Stock Exchange","CAD"
"SSNC","SS AND C TECHNOLOGIES HOLDINGS INC","Industrie","Aktien","1.781.490,70","0,02","1.781.490,70","21.670,00","82,21","Vereinigte Staaten","NASDAQ","USD"
"DSY","DASSAULT SYSTEMES","IT","Aktien","1.771.453,34","0,02","1.771.453,34","64.836,00","27,32","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LVS","LAS VEGAS SANDS CORP","Zyklische Konsumgüter ","Aktien","1.769.630,20","0,02","1.769.630,20","31.805,00","55,64","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INVH","INVITATION HOMES INC","Immobilien","Aktien","1.763.527,50","0,02","1.763.527,50","67.182,00","26,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MAA","MID AMERICA APARTMENT COMMUNITIES","Immobilien","Aktien","1.761.972,27","0,02","1.761.972,27","13.317,00","132,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RKT","ROCKET COMPANIES INC CLASS A","Financials","Aktien","1.756.440,29","0,02","1.756.440,29","93.577,00","18,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"669","TECHTRONIC INDUSTRIES LTD","Industrie","Aktien","1.756.183,13","0,02","1.756.183,13","130.000,00","13,51","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"RI","PERNOD RICARD SA","Nichtzyklische Konsumgüter","Aktien","1.755.055,95","0,02","1.755.055,95","19.951,00","87,97","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ANTO","ANTOFAGASTA PLC","Materialien","Aktien","1.753.207,31","0,02","1.753.207,31","35.344,00","49,60","Vereinigtes Königreich","London Stock Exchange","GBP"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrie","Aktien","1.748.790,80","0,02","1.748.790,80","15.521,00","112,67","Spanien","Bolsa De Madrid","EUR"
"1812","KAJIMA CORP","Industrie","Aktien","1.747.425,08","0,02","1.747.425,08","43.200,00","40,45","Japan","Tokyo Stock Exchange","JPY"
"BT.A","BT GROUP PLC","Kommunikation","Aktien","1.744.632,80","0,02","1.744.632,80","664.709,00","2,62","Vereinigtes Königreich","London Stock Exchange","GBP"
"EPI A","EPIROC CLASS A","Industrie","Aktien","1.735.472,27","0,02","1.735.472,27","61.505,00","28,22","Schweden","Nasdaq Omx Nordic","SEK"
"CHKP","CHECK POINT SOFTWARE TECHNOLOGIES","IT","Aktien","1.734.701,46","0,02","1.734.701,46","9.626,00","180,21","Israel","NASDAQ","USD"
"JBHT","JB HUNT TRANSPORT SERVICES INC","Industrie","Aktien","1.735.175,16","0,02","1.735.175,16","8.196,00","211,71","Vereinigte Staaten","NASDAQ","USD"
"ESLT","ELBIT SYSTEMS LTD","Industrie","Aktien","1.728.702,49","0,02","1.728.702,49","2.459,00","703,01","Israel","Tel Aviv Stock Exchange","ILS"
"7832","BANDAI NAMCO HOLDINGS INC","Zyklische Konsumgüter ","Aktien","1.721.087,52","0,02","1.721.087,52","67.100,00","25,65","Japan","Tokyo Stock Exchange","JPY"
"6988","NITTO DENKO CORP","Materialien","Aktien","1.714.466,04","0,02","1.714.466,04","77.700,00","22,07","Japan","Tokyo Stock Exchange","JPY"
"AFRM","AFFIRM HOLDINGS INC CLASS A","Financials","Aktien","1.710.366,09","0,02","1.710.366,09","27.591,00","61,99","Vereinigte Staaten","NASDAQ","USD"
"ESS","ESSEX PROPERTY TRUST REIT INC","Immobilien","Aktien","1.706.423,28","0,02","1.706.423,28","6.868,00","248,46","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IT","GARTNER INC","IT","Aktien","1.700.767,20","0,02","1.700.767,20","8.403,00","202,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"KPN","KONINKLIJKE KPN NV","Kommunikation","Aktien","1.696.894,66","0,02","1.696.894,66","343.606,00","4,94","Niederlande","Euronext Amsterdam","EUR"
"9735","SECOM LTD","Industrie","Aktien","1.694.750,60","0,02","1.694.750,60","46.100,00","36,76","Japan","Tokyo Stock Exchange","JPY"
"FCNCA","FIRST CITIZENS BANCSHARES INC CLAS","Financials","Aktien","1.692.561,45","0,02","1.692.561,45","807,00","2.097,35","Vereinigte Staaten","NASDAQ","USD"
"SATS","ECHOSTAR CORP CLASS A","Kommunikation","Aktien","1.687.877,10","0,02","1.687.877,10","14.482,00","116,55","Vereinigte Staaten","NASDAQ","USD"
"285A","KIOXIA HOLDINGS CORP","IT","Aktien","1.686.513,57","0,02","1.686.513,57","14.300,00","117,94","Japan","Tokyo Stock Exchange","JPY"
"VACN","VAT GROUP AG","Industrie","Aktien","1.683.215,51","0,02","1.683.215,51","2.643,00","636,86","Schweiz","SIX Swiss Exchange","CHF"
"LOGN","LOGITECH INTERNATIONAL SA","IT","Aktien","1.682.349,80","0,02","1.682.349,80","19.276,00","87,28","Schweiz","SIX Swiss Exchange","CHF"
"6326","KUBOTA CORP","Industrie","Aktien","1.682.585,51","0,02","1.682.585,51","111.700,00","15,06","Japan","Tokyo Stock Exchange","JPY"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Gesundheitsversorgung","Aktien","1.681.548,66","0,02","1.681.548,66","19.503,00","86,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MRU","METRO INC","Nichtzyklische Konsumgüter","Aktien","1.674.643,87","0,02","1.674.643,87","25.062,00","66,82","Kanada","Toronto Stock Exchange","CAD"
"ALFA","ALFA LAVAL","Industrie","Aktien","1.669.466,31","0,02","1.669.466,31","28.361,00","58,86","Schweden","Nasdaq Omx Nordic","SEK"
"8830","SUMITOMO REALTY & DEVELOPMENT LTD","Immobilien","Aktien","1.662.207,16","0,02","1.662.207,16","60.700,00","27,38","Japan","Tokyo Stock Exchange","JPY"
"TRMB","TRIMBLE INC","IT","Aktien","1.661.295,12","0,02","1.661.295,12","24.474,00","67,88","Vereinigte Staaten","NASDAQ","USD"
"NDSN","NORDSON CORP","Industrie","Aktien","1.660.352,36","0,02","1.660.352,36","5.996,00","276,91","Vereinigte Staaten","NASDAQ","USD"
"TEF","TELEFONICA SA","Kommunikation","Aktien","1.657.657,28","0,02","1.657.657,28","407.463,00","4,07","Spanien","Bolsa De Madrid","EUR"
"EQT","EQT","Financials","Aktien","1.650.107,32","0,02","1.650.107,32","43.657,00","37,80","Schweden","Nasdaq Omx Nordic","SEK"
"7936","ASICS CORP","Zyklische Konsumgüter ","Aktien","1.647.064,72","0,02","1.647.064,72","67.600,00","24,36","Japan","Tokyo Stock Exchange","JPY"
"J","JACOBS SOLUTIONS INC","Industrie","Aktien","1.644.613,20","0,02","1.644.613,20","12.015,00","136,88","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LISN","CHOCOLADEFABRIKEN LINDT & SPRUENGL","Nichtzyklische Konsumgüter","Aktien","1.640.887,87","0,02","1.640.887,87","11,00","149.171,62","Schweiz","SIX Swiss Exchange","CHF"
"ESSITY B","ESSITY CLASS B","Nichtzyklische Konsumgüter","Aktien","1.640.502,70","0,02","1.640.502,70","56.271,00","29,15","Schweden","Nasdaq Omx Nordic","SEK"
