Fondsposition per,"02.Feb.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"1299","AIA GROUP LTD","Financials","Aktien","12.471.059,36","0,14","12.471.059,36","1.093.693,00","11,40","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"PH","PARKER-HANNIFIN CORP","Industrie","Aktien","12.470.248,00","0,14","12.470.248,00","13.099,00","952,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PLD","PROLOGIS REIT INC","Immobilien","Aktien","12.463.804,16","0,14","12.463.804,16","96.112,00","129,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PGR","PROGRESSIVE CORP","Financials","Aktien","12.336.710,40","0,14","12.336.710,40","60.760,00","203,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CB","CHUBB LTD","Financials","Aktien","12.286.905,00","0,14","12.286.905,00","39.476,00","311,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6857","ADVANTEST CORP","IT","Aktien","12.131.032,60","0,14","12.131.032,60","77.700,00","156,13","Japan","Tokyo Stock Exchange","JPY"
"PANW","PALO ALTO NETWORKS INC","IT","Aktien","12.064.335,08","0,14","12.064.335,08","68.774,00","175,42","Vereinigte Staaten","NASDAQ","USD"
"BMY","BRISTOL MYERS SQUIBB","Gesundheitsversorgung","Aktien","11.851.418,61","0,14","11.851.418,61","212.049,00","55,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CMCSA","COMCAST CORP CLASS A","Kommunikation","Aktien","11.624.106,01","0,13","11.624.106,01","392.839,00","29,59","Vereinigte Staaten","NASDAQ","USD"
"APP","APPLOVIN CORP CLASS A","IT","Aktien","11.580.891,00","0,13","11.580.891,00","23.977,00","483,00","Vereinigte Staaten","NASDAQ","USD"
"8035","TOKYO ELECTRON LTD","IT","Aktien","11.515.220,81","0,13","11.515.220,81","45.200,00","254,76","Japan","Tokyo Stock Exchange","JPY"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materialien","Aktien","11.418.323,41","0,13","11.418.323,41","60.732,00","188,01","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BNP","BNP PARIBAS SA","Financials","Aktien","11.405.768,53","0,13","11.405.768,53","104.703,00","108,93","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"OR","LOREAL SA","Nichtzyklische Konsumgüter","Aktien","11.285.617,79","0,13","11.285.617,79","24.622,00","458,36","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","IT","Aktien","11.091.933,75","0,13","11.091.933,75","25.275,00","438,85","Vereinigte Staaten","NASDAQ","USD"
"GSK","GLAXOSMITHKLINE","Gesundheitsversorgung","Aktien","11.091.076,11","0,13","11.091.076,11","422.792,00","26,23","Vereinigtes Königreich","London Stock Exchange","GBP"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Zyklische Konsumgüter ","Aktien","11.078.514,87","0,13","11.078.514,87","56.469,00","196,19","Schweiz","SIX Swiss Exchange","CHF"
"BX","BLACKSTONE INC","Financials","Aktien","10.903.425,28","0,12","10.903.425,28","77.176,00","141,28","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RIO","RIO TINTO PLC","Materialien","Aktien","10.881.378,59","0,12","10.881.378,59","117.390,00","92,69","Vereinigtes Königreich","London Stock Exchange","GBP"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Aktien","10.774.084,82","0,12","10.774.084,82","15.087,00","714,13","Schweiz","SIX Swiss Exchange","CHF"
"CME","CME GROUP INC CLASS A","Financials","Aktien","10.754.419,22","0,12","10.754.419,22","36.986,00","290,77","Vereinigte Staaten","NASDAQ","USD"
"MCK","MCKESSON CORP","Gesundheitsversorgung","Aktien","10.726.128,21","0,12","10.726.128,21","12.671,00","846,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SAN","SANOFI SA","Gesundheitsversorgung","Aktien","10.706.933,59","0,12","10.706.933,59","112.863,00","94,87","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"8411","MIZUHO FINANCIAL GROUP INC","Financials","Aktien","10.664.851,26","0,12","10.664.851,26","253.087,00","42,14","Japan","Tokyo Stock Exchange","JPY"
"ENB","ENBRIDGE INC","Energie","Aktien","10.652.623,23","0,12","10.652.623,23","221.027,00","48,20","Kanada","Toronto Stock Exchange","CAD"
"MO","ALTRIA GROUP INC","Nichtzyklische Konsumgüter","Aktien","10.593.848,51","0,12","10.593.848,51","170.237,00","62,23","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Aktien","10.459.206,10","0,12","10.459.206,10","60.395,00","173,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SBUX","STARBUCKS CORP","Zyklische Konsumgüter ","Aktien","10.458.894,92","0,12","10.458.894,92","114.068,00","91,69","Vereinigte Staaten","NASDAQ","USD"
"9984","SOFTBANK GROUP CORP","Kommunikation","Aktien","10.330.419,14","0,12","10.330.419,14","393.200,00","26,27","Japan","Tokyo Stock Exchange","JPY"
"TMUS","T MOBILE US INC","Kommunikation","Aktien","10.260.373,80","0,12","10.260.373,80","52.620,00","194,99","Vereinigte Staaten","NASDAQ","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrie","Aktien","10.208.136,60","0,12","10.208.136,60","41.235,00","247,56","Vereinigte Staaten","NASDAQ","USD"
